Time,NoBlobs,Evolution_time,Circulation
0.00025,102145.0,57.09257146899999,8.174610073297117e-06
0.0005,101866.0,57.359655437000015,3.931606073592775e-06
0.00075,101660.0,57.02807204499999,5.175588469796821e-06
0.001,101430.0,57.05277893300001,2.292420489879987e-06
0.00125,101204.0,56.82690878799997,5.115514909448393e-07
0.0015,101045.0,56.57632287400003,1.4626371722670228e-06
0.00175,100861.0,56.51965060499998,3.5316994626555243e-06
0.002,100668.0,56.18263785300008,5.896483585843271e-06
0.00225,100473.0,56.12705734100007,8.542093667074369e-06
0.0025,100340.0,55.88521775499999,6.619540727115236e-06
0.00275,100209.0,55.732090021999966,1.0044780381690543e-05
0.003,100003.0,55.507929752,8.619578309776443e-06
0.00325,99689.0,55.6048984119999,2.7657889773990973e-06
0.0035,99444.0,55.03213417000006,4.316188039865665e-06
0.00375,99246.0,54.75619894399995,5.770520260739431e-06
0.004,98913.0,54.69298099299999,4.71424920078789e-06
0.00425,98588.0,53.95567925399985,-1.3079977350116678e-06
0.0045,98465.0,53.66560336099997,3.0077704025188723e-06
0.00475,98264.0,53.23089060999996,4.767023327190145e-06
0.005,98077.0,52.94104398000013,3.596688287643701e-06
0.00525,97995.0,52.68300788599981,4.434337370184949e-06
0.0055,97939.0,52.490985335000005,4.854644217289206e-06
0.00575,97868.0,52.54575228600015,4.92942240271077e-06
0.006,97762.0,51.973063480000064,8.840447790703365e-06
0.00625,97119.0,51.90930089900007,7.745212911913768e-06
0.0065,96274.0,51.57357455900001,8.920256206579324e-06
0.00675,96182.0,51.17065205200015,9.551075450531243e-06
0.007,96103.0,50.92894227800002,9.561648127487388e-06
0.00725,96050.0,50.76290528199979,9.648362080838524e-06
0.0075,95971.0,50.71704582799998,7.72708335716743e-06
0.00775,95915.0,50.78436925400001,7.273840054722314e-06
0.008,95880.0,50.794132968999975,7.180547086704792e-06
0.00825,95817.0,50.80607246299997,8.70303517785942e-06
0.0085,95780.0,50.718694571000015,8.407839374058312e-06
0.00875,95747.0,50.809736666999925,8.372142460189025e-06
0.009,95738.0,50.739413987000034,8.523831027673623e-06
0.00925,95708.0,50.63482680100015,8.282103067358548e-06
0.0095,95699.0,50.64283109000007,9.444877377973173e-06
0.00975,95672.0,50.48667970899987,1.0061654137416554e-05
0.01,95632.0,50.50876844799996,1.0592374366069636e-05
0.01025,95574.0,50.776095839999925,1.1098530308117915e-05
0.0105,95540.0,50.76074759499989,1.1064657684300984e-05
0.01075,95496.0,50.687811410999984,1.1215928338970116e-05
0.011,95425.0,50.85962795299975,1.1097259829284669e-05
0.01125,95374.0,50.7803144669997,1.1125715190019037e-05
0.0115,95336.0,50.80333261700025,1.1219189701705544e-05
0.01175,95284.0,50.63113142500015,1.1329114428804132e-05
0.012,95242.0,50.479591808999885,1.1294812793494202e-05
0.01225,95193.0,50.5642479359999,1.0885976791996654e-05
0.0125,95129.0,50.39690810800039,1.1251548556856504e-05
0.01275,95088.0,50.24961485899985,1.1319647029495172e-05
0.013,95043.0,50.24476323899989,1.1178609838680131e-05
0.01325,95000.0,50.18024030600009,1.1615655239438638e-05
0.0135,94962.0,50.19322573199997,1.1214396636205493e-05
0.01375,94931.0,49.94303653299994,1.1168866649313712e-05
0.014,94878.0,50.02125981800009,1.1600285262147736e-05
0.01425,94833.0,50.11747919299978,1.2243635836739486e-05
0.0145,94774.0,49.94978530799972,1.5612354332006362e-05
0.01475,94734.0,49.88942880100012,1.6766162417525265e-05
0.015,94714.0,50.05510891299991,1.6438489041092907e-05
0.01525,94653.0,49.72021681699971,1.5720004086006156e-05
0.0155,94613.0,49.81220333500005,1.585938460380021e-05
0.01575,94569.0,49.82932192299995,1.7010951040674627e-05
0.016,94533.0,49.81958322999981,1.6304812788803247e-05
0.01625,94477.0,49.830446790000224,1.641847680389219e-05
0.0165,94426.0,49.60451344900002,1.5930378708617354e-05
0.01675,94377.0,49.75563599100042,1.572332868704507e-05
0.017,94335.0,49.52565452299996,1.4719421216113917e-05
0.01725,94305.0,49.438851586000055,1.4063034285527465e-05
0.0175,94290.0,49.37204334499984,1.2661586254125725e-05
0.01775,94279.0,49.29061327999989,1.3049596347514124e-05
0.018,94244.0,49.37680365200004,1.3935575850609894e-05
0.01825,94195.0,49.46386904199972,1.4659720790177744e-05
0.0185,94157.0,49.05317277499989,1.603022977292312e-05
0.01875,94126.0,49.14266537200001,1.5293642917413308e-05
0.019,94121.0,49.39583084600008,1.527208084439735e-05
0.01925,94090.0,49.3191089930001,1.5890826489339815e-05
0.0195,94058.0,49.41355969099959,1.50958121594158e-05
0.01975,94005.0,48.90987287499957,1.4664937879160789e-05
0.02,93988.0,49.25113168900043,1.5188461475190708e-05
0.02025,93963.0,48.93113119899954,1.5947983143860256e-05
0.0205,93931.0,48.93566529099917,1.6643068136090733e-05
0.02075,93917.0,48.77225042400005,1.5775048723298823e-05
0.021,93899.0,48.69694817300024,1.420877165969614e-05
0.02125,93864.0,48.628201497999726,1.2475950143198132e-05
0.0215,93830.0,48.95545253099954,1.189340403584538e-05
0.02175,93806.0,48.958541548999165,1.1906145374496193e-05
0.022,93782.0,48.63042540900005,1.0372044101814026e-05
0.02225,93737.0,48.629942536999806,1.1157696036434572e-05
0.0225,93713.0,48.71846736400039,1.0958018094697763e-05
0.02275,93694.0,48.80173423999986,1.0894492220359098e-05
0.023,93668.0,48.78862087800008,1.1729523720305224e-05
0.02325,93657.0,48.55558796700007,1.244407795297775e-05
0.0235,93638.0,48.562000401999285,1.2406535859099677e-05
