Time,NoBlobs,Evolution_time,Circulation
0.01,6223,0.26329481100003704,-2.385809971805486e-08
0.02,6228,0.2585463789999949,-3.565006001515769e-08
0.03,6229,0.24937627599996404,-3.8274247771141745e-08
0.04,6234,0.2535805010000445,-4.2163038393994157e-08
0.05,6235,0.2670519240000431,-2.8116245109899296e-08
0.06,6244,0.25391234400001395,-2.6396482555313128e-08
0.07,6246,0.25867950700001074,-6.2152647473112665e-09
0.08,6253,0.2597069139999917,2.489762396251649e-09
0.09,6260,0.26412235899999814,-5.146209236528421e-09
0.1,6259,0.2687069009999732,-3.7066402169827484e-08
0.11,6262,0.2649276400000531,-8.88065156638973e-05
0.12,6269,0.2610344400000031,-8.878459386552073e-05
0.13,6266,0.25991199200001347,-8.879021451013713e-05
0.14,6271,0.2559051929999896,-8.879345642309744e-05
0.15,6281,0.25168824100001075,-8.878829096037322e-05
0.16,6290,0.27151350000002594,-8.876592388218363e-05
0.17,6291,0.2574771220000116,-8.876847965400003e-05
0.18,6302,0.27602638099995147,-8.877495775783117e-05
0.19,6317,0.2767070609999678,-8.878548933144437e-05
0.2,6343,0.27701232199996184,-8.880571335412313e-05
0.21,6361,0.27722720799999934,-8.880770780983482e-05
0.22,6390,0.30011792900000955,-8.880980393843885e-05
0.23,6424,0.28317282799997656,-8.88182211105093e-05
0.24,6450,0.2907241089999957,-8.882715118962992e-05
0.25,6483,0.29065152200001876,-8.882685364008935e-05
0.26,6504,0.2858438030000343,-8.880223109863916e-05
0.27,6540,0.28588833399999203,-8.878823344848907e-05
0.28,6577,0.29064877700000125,-8.878205240148151e-05
0.29,6617,0.32500275099999953,-8.876968780335837e-05
0.3,6647,0.32395739100002174,-8.87387457937372e-05
0.31,6688,0.3162539720000268,-8.87417393842238e-05
0.32,6724,0.3270707019999577,-8.874757930693589e-05
0.33,6762,0.3149446570000123,-8.871841428337301e-05
0.34,6803,0.31469092399999,-8.871532105070301e-05
0.35000000000000003,6843,0.3671780370000306,-8.871247184538689e-05
0.36,6895,0.3175595250000356,-8.873016510893561e-05
0.37,6938,0.31950855100001263,-8.873736727194048e-05
0.38,6989,0.33215840599996227,-8.873035502748872e-05
0.39,7019,0.3261518769999725,-8.873189198901899e-05
0.4,7070,0.3269069140000056,-6.548172202824193e-05
0.41000000000000003,7117,0.3398057960000074,-6.546950907997812e-05
0.42,7153,0.3474810410000373,-6.546442472576963e-05
0.43,7199,0.3415243540000006,-6.545037153832256e-05
0.44,7245,0.35294538600004444,-6.543127946312399e-05
0.45,7293,0.36096065699996416,-6.5433516106439e-05
0.46,7331,0.35394591400000763,-6.543553480908848e-05
0.47000000000000003,7383,0.36076562099998455,-6.545182261186167e-05
0.48,7432,0.37162114400001656,-6.542497026995608e-05
0.49,7481,0.38190790999999535,-6.541678766214254e-05
0.5,7529,0.3810107130000233,-6.54379019520146e-05
0.51,7572,0.3854747099999827,-6.543854598173304e-05
0.52,7631,0.3933714899999927,-6.543035057426927e-05
0.53,7695,0.4126495879999652,-6.540262255938512e-05
0.54,7736,0.42090835499999457,-6.539818905904049e-05
0.55,7787,0.42784673300002396,0.0019387227975439236
0.56,7836,0.42779848899999706,0.0019387185395780548
0.5700000000000001,7895,0.4567381240000259,0.0019387180504794044
0.58,7936,0.4638057079999953,0.0019387046373802175
0.59,7990,0.4349459539999998,0.0019387195944171598
0.6,8044,0.43375860999998395,0.0019387245394983932
0.61,8083,0.43438797399994655,0.0019387225836833277
0.62,8138,0.4994160669999701,0.0019387265295613965
0.63,8192,0.4706381809999698,0.001938717517549704
0.64,8231,0.4601961590000201,0.0019387207381021399
0.65,8287,0.471773297000027,0.001938739191629013
0.66,8345,0.4728704100000414,0.001938724845878377
0.67,8396,0.5098573210000268,0.0019387310454743317
0.68,8451,0.5020527579999907,0.0019387328932296555
0.6900000000000001,8509,0.517894076999994,0.0019387378706015798
0.7000000000000001,8556,0.5326711449999948,0.0019486661500279223
0.71,8607,0.5573847609999802,0.0019486650305528055
0.72,8658,0.5446572419999711,0.0019486756041482978
0.73,8709,0.5693883330000062,0.001948679647538254
0.74,8754,0.5582216399999993,0.0019486666179147072
0.75,8805,0.5942911449999997,0.0019201262261309415
0.76,8841,0.5459187010000051,0.001920107275522387
0.77,8921,0.5765577450000023,0.001920107909574087
0.78,8978,0.559283473999983,0.0013843909175551873
0.79,9042,0.585463188999995,0.001384474857033309
0.8,9099,0.5794358680000187,0.0013844803651641042
0.81,9165,0.6309823930000107,0.0013844854129816953
0.8200000000000001,9219,0.6433329710000066,0.0013844822323438172
0.8300000000000001,9279,0.6145744430000377,0.0013844855084122892
0.84,9326,0.637348645999964,0.0013844870373030949
0.85,9356,0.5717290730000286,0.0013844845837896746
0.86,9423,0.6265831590000062,0.0013880956971774328
0.87,9475,0.6013366249999876,0.0013881020298208424
0.88,9520,0.6106728859999748,0.0013880987651995746
0.89,9560,0.6172255040000323,0.0013881031755893503
0.9,9629,0.6504543330000274,0.0013881033247330685
0.91,9683,0.6680935140000201,0.0013881195088924422
0.92,9740,0.6324804729999869,0.0013881234233611844
0.93,9819,0.660378173999959,0.0013881204540369951
0.9400000000000001,9874,0.6505292420000046,0.0013881298092525696
0.9500000000000001,9937,0.6579974620000257,0.0013881244271946591
0.96,9988,0.6580593570000133,0.0013881230912156095
0.97,10032,0.6765411580000205,0.0013881162676391556
0.98,10090,0.667598154000018,0.001388116548456303
0.99,10158,0.6660552989999928,0.001388113781610828
1.0,10219,0.6764188159999662,0.001388121107614937
