Time,NoBlobs,Evolution_time,Circulation
0.02,9922,3.2525968969985115,5.978362357604279e-11
0.04,9921,3.18661420799981,9.668251725066359e-11
0.06,9920,3.234462274998805,1.4147293862250667e-10
0.08,9919,3.085906393998812,1.2280010928071962e-10
0.1,9919,3.4201106349992187,1.3146251731118276e-10
0.12,9916,3.1149925839999923,1.2640431254908968e-10
0.14,9915,3.0881836989992735,6.248694333538566e-11
0.16,9915,3.0595288620006613,6.488312641373154e-11
0.18,9915,3.1722441380006785,1.4755582756393085e-10
0.2,9915,3.17288030599957,1.0422078042467457e-10
0.22,9915,3.062289499999679,1.2560852334856233e-10
0.24,9915,3.1191221280005266,6.711936820612686e-11
0.26,9915,3.162322960999518,5.530917345688137e-11
0.28,9915,3.14058167300027,8.799183666988392e-11
0.3,9915,3.1182725180005946,1.199764104050879e-10
0.32,9915,3.0531109429994103,1.1225269811034966e-10
0.34,9913,3.092067629000667,9.857903524783471e-11
0.36,9911,3.1189590680005495,1.0244384264433931e-10
0.38,9911,3.2201219799990213,1.2245478899481732e-10
0.4,9911,3.2021463090004545,1.4819114984543596e-10
0.42,9911,3.0769591290008975,1.7368465450516807e-10
0.44,9911,3.104289434000748,1.852592303298688e-10
0.46,9911,3.0839097930002026,2.3635292237839003e-10
0.48,9911,3.196308840000711,2.553853017293005e-10
0.5,9911,3.02133071299977,3.1545173527294e-10
0.52,9911,3.0707632430003287,3.110684814219128e-10
0.54,9911,3.076089915000921,2.981971803103854e-10
0.56,9911,3.0423086789996887,2.9637261537006246e-10
0.58,9911,3.1083430019989464,2.590076175859905e-10
0.6,9911,3.1112186829996062,2.9246585433681267e-10
0.62,9911,3.061086208999768,2.767123216218352e-10
0.64,9911,3.226104467001278,2.840306697926868e-10
0.66,9911,3.138460075999319,2.943412204779467e-10
0.68,9911,3.0179301040006976,2.8066589212504076e-10
0.7000000000000001,9911,3.111440102000415,2.7379886102492715e-10
0.72,9911,3.1034090250013833,2.470920652331357e-10
0.74,9911,3.071539238000696,2.874051763587923e-10
0.76,9911,3.1038952539984166,2.6823964576638435e-10
0.78,9911,3.06382955799927,3.4683312442890116e-10
0.8,9911,3.0883179640004528,3.5904694031151574e-10
0.8200000000000001,9911,3.1871786789997714,3.700805567758477e-10
0.84,9911,3.04733514200052,3.557135533731868e-10
0.86,9911,3.12214700199911,3.1727527142398583e-10
0.88,9911,3.0965105109989963,3.2125429160807404e-10
0.9,9911,3.088262981000298,2.946229488607027e-10
0.92,9911,3.0961902709987044,2.763224473046515e-10
0.9400000000000001,9911,3.0408275829995546,2.71712115040314e-10
0.96,9911,3.1703148420001526,2.9612358665696576e-10
0.98,9911,3.195956858999125,3.290080250340638e-10
1.0,9911,3.3430458299990278,3.722388478862417e-10
1.02,9911,3.1566495509996457,4.015626579222326e-10
1.04,9911,3.2290451700009726,3.584067129316698e-10
1.06,9911,3.1306686579991947,3.7472859979402993e-10
1.08,9911,3.0522819759989943,3.8308402270818354e-10
1.1,9911,3.046670861000166,3.583320214173031e-10
1.12,9913,3.0471505639998213,3.407575918483452e-10
1.1400000000000001,9915,3.1132225210003526,3.610465754085067e-10
1.16,9920,3.1513625489988044,3.5566239225113573e-10
1.18,9922,3.1365209619998495,3.162079334809685e-10
1.2,9922,3.1256658350012003,3.071933195151902e-10
1.22,9926,3.0483502030001546,2.9841197811137764e-10
1.24,9934,3.1750031409992516,3.3859827921621684e-10
1.26,9942,3.140271815000233,3.392877947046508e-10
1.28,9952,3.1704085760011367,3.570457359403003e-10
1.3,9960,3.184312058001524,3.4092993949881925e-10
1.32,9969,3.189579327001411,3.24542732288045e-10
1.34,9983,3.218712947000313,3.5014218980548416e-10
1.36,9995,3.4549251410007855,3.8149679895433265e-10
1.3800000000000001,10003,3.0557450169999356,4.000431411507093e-10
1.4000000000000001,10014,3.2986974859995826,4.3084022066403483e-10
1.42,10019,3.2097422710012324,4.198398399903958e-10
1.44,10034,3.135301572998287,4.076706621748954e-10
1.46,10046,3.169283084000199,4.050275884131963e-10
1.48,10062,3.211672309000278,4.0952918992445426e-10
1.5,10067,3.1733608650010865,4.1224616613173143e-10
1.52,10081,3.2009626559993194,4.3275233299177457e-10
1.54,10094,3.2595791690000624,4.3844229956964843e-10
1.56,10101,3.251507703000243,4.626014063458493e-10
1.58,10120,3.2603503499994986,4.675541104862081e-10
1.6,10136,3.2620978669983742,4.936541324373003e-10
1.62,10145,3.3047564110001986,4.999537905116822e-10
1.6400000000000001,10156,3.2236505479995685,5.07125194376852e-10
1.6600000000000001,10165,3.272405045998312,4.992311033292325e-10
1.68,10176,3.2855573580000055,5.099093321788827e-10
1.7,10183,3.192753276000076,5.224346042581596e-10
1.72,10188,3.283445154000219,5.441035060520369e-10
